Year,State,FIPS Code,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area
2004,Missouri,29.0,4386582.416666667,2995635.9166666665,68.0,2819680.4166666665,64.0,175955.5,5.5
2004,Montana,30.0,718056.75,478148.6666666667,66.0,456583.8333333333,63.0,21564.833333333332,4.0
2004,Nebraska,31.0,1315032.3333333333,973481.5,73.75,935644.0,70.83333333333333,37837.5,3.0833333333333335
2004,Nevada,32.0,1756312.1666666667,1178490.0833333333,67.0,1126064.3333333333,64.0,52425.75,4.0
2004,New Hampshire,33.0,1007297.6666666666,715438.75,71.0,688189.6666666666,68.0,27249.083333333332,3.3333333333333335
2004,New Jersey,34.0,6602607.166666667,4347456.083333333,65.33333333333333,4133538.1666666665,62.0,213917.91666666666,4.5
2004,New Mexico,35.0,1413287.4166666667,890302.8333333334,62.666666666666664,840857.75,59.0,49445.083333333336,5.0
2004,New York,36.0,14920092.583333334,9355758.5,62.0,8813439.083333334,58.583333333333336,542319.4166666666,5.416666666666667
2004,New York city,51000.0,6364690.166666667,3758412.5,58.666666666666664,3497708.1666666665,54.5,260704.33333333334,6.5
2004,North Carolina,37.0,6452248.583333333,4287821.416666667,66.0,4036445.8333333335,62.0,251375.58333333334,5.333333333333333
2004,North Dakota,38.0,489446.25,353598.0833333333,72.0,341685.9166666667,69.0,11912.166666666666,3.0
2004,Ohio,39.0,8784378.0,5850977.416666667,66.0,5485365.416666667,62.0,365612.0,6.0
2004,Oklahoma,40.0,2638115.4166666665,1689956.0,64.0,1610347.5833333333,60.583333333333336,79608.41666666667,4.166666666666667
2004,Oregon,41.0,2781850.5,1845137.8333333333,65.83333333333333,1709849.4166666667,61.0,135288.41666666666,6.833333333333333
2004,Pennsylvania,42.0,9649682.083333334,6211705.916666667,64.0,5878103.833333333,60.416666666666664,333602.0833333333,5.0
2004,Rhode Island,44.0,837494.1666666666,555609.5,66.0,526440.5833333334,62.166666666666664,29168.916666666668,4.666666666666667
2004,South Carolina,45.0,3178645.0833333335,2043291.9166666667,64.0,1891435.75,59.0,151856.16666666666,7.0
2004,South Dakota,46.0,582859.3333333334,425938.8333333333,72.91666666666667,410600.4166666667,70.0,15338.416666666666,3.0
2004,Tennessee,47.0,4541581.083333333,2895816.6666666665,63.416666666666664,2740891.5,59.833333333333336,154925.16666666666,5.0
2004,Texas,48.0,16322711.833333334,10995044.083333334,67.0,10334618.0,63.0,660426.0833333334,5.5
2004,Utah,49.0,1730928.4166666667,1231551.6666666667,71.0,1169920.3333333333,67.16666666666667,61631.333333333336,4.583333333333333
2004,Vermont,50.0,491812.6666666667,347298.5833333333,70.16666666666667,334518.5,67.75,12780.083333333334,3.1666666666666665
2004,Virginia,51.0,5615773.333333333,3813625.5,67.25,3657879.1666666665,65.0,155746.33333333334,3.8333333333333335
